"USD","Brent","RU","US","USD_real","Brent_real","date","year","id","dlog_Brent","dlog_USD"
0.015562,49.5,0.942621413838365,0.983817284991917,0.0165092790928983,50.3142206943505,2015-10-30,"2015",626,0.0181433985172808,0.00199401860686432
0.015654,49.5,0.942621413838365,0.983817284991917,0.016606879252039,50.3142206943505,2015-10-31,"2015",627,0,0.00589443018790803
0.015609,49.39,0.949559347459216,0.985276788925962,0.0164381510663507,50.1280457990281,2015-11-01,"2015",628,-0.00222469502211142,-0.00287880440637078
0.015662,48.77,0.949559347459216,0.985276788925962,0.0164939664296998,49.4987810005791,2015-11-02,"2015",629,-0.0126326048305723,0.00338972535246995
0.015933,50.25,0.949559347459216,0.985276788925962,0.0167793619668246,51.0008969710703,2015-11-03,"2015",630,0.0298951772172238,0.017155033779626
0.015764,48.92,0.949559347459216,0.985276788925962,0.0166013846761453,49.6510224840748,2015-11-04,"2015",631,-0.0268242361202131,-0.0106635707756144
0.01569,48.12,0.949559347459216,0.985276788925962,0.0165234537914692,48.8390679054309,2015-11-05,"2015",632,-0.0164884197124939,-0.0047052925878166
0.015444,47.66,0.949559347459216,0.985276788925962,0.0162643862559242,48.3721940227107,2015-11-06,"2015",633,-0.00960541943588211,-0.0158029883429505
0.015444,47.66,0.949559347459216,0.985276788925962,0.0162643862559242,48.3721940227107,2015-11-07,"2015",634,0,0
0.015741,47.48,0.949559347459216,0.985276788925962,0.0165771629146919,48.1895042425158,2015-11-08,"2015",635,-0.00378390192912859,0.0190481949706944
0.015421,47.3,0.949559347459216,0.985276788925962,0.0162401644944708,48.0068144623209,2015-11-09,"2015",636,-0.00379827424358004,-0.020538556497165
0.015439,47.05,0.949559347459216,0.985276788925962,0.0162591206556082,47.7530786564947,2015-11-10,"2015",637,-0.00529942946649875,0.00116655878426997
0.015163,46.59,0.949559347459216,0.985276788925962,0.0159684595181675,47.2862047737745,2015-11-11,"2015",638,-0.00982494020268287,-0.0180385258409874
0.014955,45.2,0.949559347459216,0.985276788925962,0.0157494105450237,45.8754336933807,2015-11-12,"2015",639,-0.0302888389905198,-0.0138125577368911
0.014916,44.6,0.949559347459216,0.985276788925962,0.0157083388625592,45.2664677593977,2015-11-13,"2015",640,-0.0133632278121674,-0.00261122976533645
0.014909,44.6,0.949559347459216,0.985276788925962,0.0157009670221169,45.2664677593977,2015-11-14,"2015",641,0,-0.000469404870313106
0.015136,44.61,0.949559347459216,0.985276788925962,0.0159400252764613,45.2766171916308,2015-11-15,"2015",642,0.000224190114154865,0.0151109548632604
0.015256,44.86,0.949559347459216,0.985276788925962,0.0160663996840442,45.530352997457,2015-11-16,"2015",643,0.00558847995188883,0.00789685598859613
0.015298,43.99,0.949559347459216,0.985276788925962,0.0161106307266983,44.6473523931818,2015-11-17,"2015",644,-0.0195841937314336,0.00274923260155635
0.015394,44.27,0.949559347459216,0.985276788925962,0.0162117302527646,44.9315364957071,2015-11-18,"2015",645,0.00634491138342108,0.00625572221245108
